,Count,Salary
count,,1251.0
mean,,83382.0856275
std,,37367.5375969
min,,16016.0
25%,,57595.0
50%,,82368.0
75%,,107964.5
max,,250000.0
CA,632.0,
TX,120.0,
NY,95.0,
WA,68.0,
MA,26.0,
IL,25.0,
NJ,25.0,
OR,24.0,
NC,23.0,
FL,23.0,
KS,,144600.0
RI,,105539.0
DC,,104895.0
NM,,104800.0
WA,,102080.558824
CT,,100851.428571
IN,,97530.51
LA,,96997.3333333
AR,,93406.3333333
CA,,93171.4356646
Intel Corporation,38.0,
Google Inc.,28.0,
Microsoft Corporation,23.0,
Apple Inc.,18.0,
Amazon Corporate Llc,17.0,
Defender Services Inc.,17.0,
Yahoo Inc.,15.0,
Muy Hamburger Partners Llc,12.0,
Mediatek Usa Inc.,12.0,
Super Micro Computer Inc.,12.0,
Guam Healthcare Development Inc.,,250000.0
Prophetstor Data Services Inc,,220251.0
Yang & Wang P.c.,,213970.0
Cienet Technologies Inc,,213803.0
Indiana University,,205000.0
Ardan Properties Inc.,,204000.0
Grifols Diagnostic Solutions,,190620.0
University Of Kansas,,180000.0
Memorial Resource Development Corp,,175594.0
Credit Suisse Securities (usa) Llc,,175000.0
